filename,instance_idx,oks,iou,conf,detected
5-2-474_jpg.rf.c7f9bb991aa7e51ade0cdfdc9217b8c2,0,0.898380429928105,0.8041237113402062,0.8454047441482544,True
5-2-576_jpg.rf.fdfb8269fbf704472524b871f3477ea6,0,0.9677074334945909,0.7583741830065359,0.832152247428894,True
5-2-58_jpg.rf.3aa07c9579d52f2f0d09f444aa70afaf,0,0.7816832397725233,0.7870333056773735,0.7235082387924194,True
5-2-614_jpg.rf.0d3cf4513c2e9b16533e68a787864499,0,0.929967587449609,0.9450579538194761,0.8926122784614563,True
5-2-625_jpg.rf.d0f96720d33a3507a9f8df66282344f4,0,0.9817382963317475,0.615662532955766,0.8378366827964783,True
5-2-661_jpg.rf.33f54d37fcc5edaa4ff42cac27c1a01f,0,0.949693929853364,0.7877333094041636,0.8819493055343628,True
5-2-73_jpg.rf.f9161069960917cc056b974d59ee6775,0,0.9374272431766105,0.5877665995975855,0.8063173294067383,True
5-2-751_jpg.rf.f8d66c23aa53658034a0d26dc56c1f7f,0,0.975100008492483,0.6069617175015632,0.7825957536697388,True
6-1-16_jpg.rf.0cbdd4c22aca84b470b9a53a643a4fe9,0,0.899388410296084,0.8593255224825839,0.8539104461669922,True
6-1-19_jpg.rf.8dce43d0e3666c17d84a472635aae02e,0,0.3323701934255298,0.8580705009276438,0.7115424871444702,True
6-1-19_jpg.rf.8dce43d0e3666c17d84a472635aae02e,1,0.4161770920907851,0.8147221725924603,0.8397678136825562,True
6-1-21_jpg.rf.bb90b3857e7061fd7ea710ef5fb6a4c8,0,0.9552261229298193,0.9525302939704932,0.872990608215332,True
6-2-124_jpg.rf.a2b0760deeda2986a0e1749ca308376d,0,0.7871386150084771,0.8262866054409981,0.850639283657074,True
6-2-131_jpg.rf.261a1a4473bbe8883d657ba0fd6ca47c,0,0.9773244931823412,0.9701230228471002,0.8845738172531128,True
6-2-144_jpg.rf.58f03b2e3a1ae37ef1bb58def06f24db,0,0.9821891114978003,0.9518390804597702,0.89220130443573,True
