filename,instance_idx,uid,keypoint,error,outlier
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,0,1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1#0,IS2,0.019588633928655383,False
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,0,1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1#0,IAC,0.014259488559370688,False
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,0,1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1#0,IS1,0.009724184211887294,False
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,0,1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1#0,BL1,0.031108917134075997,False
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,1,1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1#1,AOI,0.006244742792070783,False
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,1,1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1#1,BL2,0.03205814995960106,False
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,1,1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1#1,IS2,0.0071623840631758195,False
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,1,1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1#1,IAC,0.017290909469265446,False
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,1,1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1#1,IS1,0.013640957931783835,False
1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1,1,1-1-229_jpg.rf.71201b0b68091393b72f22d42913cfa1#1,BL1,0.009419408279873745,False
1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0,0,1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0#0,AOI,0.028286879515444775,False
1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0,0,1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0#0,BL2,0.020977562395781198,False
1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0,0,1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0#0,IS2,0.02198528769022667,False
1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0,0,1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0#0,IAC,0.010183130606934576,False
1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0,0,1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0#0,IS1,0.018322512071027766,False
1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0,0,1-1-241_jpg.rf.55898f7f75cda555545a6f9e79eae4a0#0,BL1,0.02477041751664221,False
1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e,0,1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e#0,AOI,0.01031147382444185,False
1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e,0,1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e#0,BL2,0.018275041569186416,False
1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e,0,1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e#0,IS2,0.018162936158049245,False
1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e,0,1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e#0,IAC,0.011713368294300282,False
1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e,0,1-1-249_jpg.rf.9b12eac37a00c4da9ca30ab7ca46060e#0,IS1,0.015493662106177936,False
