filename,instance_idx,keypoint,d_px,area_px
1-1-268_jpg.rf.ffeba97075fc1f6d709f69b8087637e7,0,BL1,16.6628786,8998.1
1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f,0,AOI,2.175688552,11031.3
1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f,0,BL2,4.954312587,11031.3
1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f,0,IS2,4.328166063,11031.3
1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f,0,IAC,3.927604705,11031.3
1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f,0,IS1,7.547245585,11031.3
1-1-283_jpg.rf.7485c546ec7bd2295d6f9c33c79ab94f,0,BL1,4.020333241,11031.3
1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df,0,AOI,3.605913273,12087
1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df,0,BL2,7.916941286,12087
1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df,0,IS2,1.177608519,12087
1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df,0,IAC,3.132668196,12087
1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df,0,IS1,3.971025901,12087
1-1-288_jpg.rf.963a5d33c5685df5ff8841f2c6cc52df,0,BL1,5.98362028,12087
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,0,AOI,4.075258112,8051.2
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,0,BL2,3.237832365,8051.2
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,0,IS2,1.426661022,8051.2
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,0,IAC,0.5112740212,8051.2
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,0,IS1,0.6039886808,8051.2
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,0,BL1,5.805594617,8051.2
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,1,AOI,3.250457761,11725.75
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,1,BL2,6.549112028,11725.75
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,1,IS2,3.37869271,11725.75
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,1,IAC,1.868994087,11725.75
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,1,IS1,2.224601561,11725.75
1-1-296_jpg.rf.ce190fdb1b4a393ebab0b67e83e3324e,1,BL1,10.14468955,11725.75
1-1-2_jpg.rf.6a4d644c96cba77436d6f06331758b3b,0,AOI,9.626741076,9747.8
1-1-2_jpg.rf.6a4d644c96cba77436d6f06331758b3b,0,BL2,22.46096324,9747.8
1-1-2_jpg.rf.6a4d644c96cba77436d6f06331758b3b,0,IS2,3.400138897,9747.8
1-1-2_jpg.rf.6a4d644c96cba77436d6f06331758b3b,0,IAC,3.119469387,9747.8
1-1-2_jpg.rf.6a4d644c96cba77436d6f06331758b3b,0,IS1,1.437459716,9747.8
1-1-2_jpg.rf.6a4d644c96cba77436d6f06331758b3b,0,BL1,25.34312105,9747.8
1-1-32_jpg.rf.9414076b270f2b46a68890c2ccce6e97,0,AOI,1.917069197,14827.4
1-1-32_jpg.rf.9414076b270f2b46a68890c2ccce6e97,0,BL2,18.56230512,14827.4
1-1-32_jpg.rf.9414076b270f2b46a68890c2ccce6e97,0,IS2,2.795732711,14827.4
1-1-32_jpg.rf.9414076b270f2b46a68890c2ccce6e97,0,IAC,1.072598555,14827.4
